prompt,completion,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the course?,Core Methods in Educational Data Mining,,,,,,,,,,,,,,,,,,,,,,,,
Could you please provide the course number?,EDUC 6191,,,,,,,,,,,,,,,,,,,,,,,,
How many credit hours is the course worth?,1 CU,,,,,,,,,,,,,,,,,,,,,,,,
Where will the course be conducted?,TBD or virtual via simulcast link (TBD),,,,,,,,,,,,,,,,,,,,,,,,
What are the class times?,"Thursday, 9:45-11:45 am (in-person) / Tuesdays, 6:00-8:00 pm",,,,,,,,,,,,,,,,,,,,,,,,
Who is the instructor teaching the course?,Ryan Baker,,,,,,,,,,,,,,,,,,,,,,,,
What are the contact details of the instructor?,Email: rybaker@upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
Where is the instructor's office located?,TBD (in-person),,,,,,,,,,,,,,,,,,,,,,,,
What are the office hours for the instructor?,"Thursdays, 12:00-2:00 pm (in-person) /s 6:00-7:00 am,s 4:00-5:00 pm",,,,,,,,,,,,,,,,,,,,,,,,
Is there a teaching assistant for the course?,"Yes, Rachel Liu and Tanvi Gupta",,,,,,,,,,,,,,,,,,,,,,,,
Who are the TAs for this course?,Rachel Liu: xiner@upenn.edu / Tanvi Gupta: guptanvi@seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
What are the contact details of the TAs?,Rachel Liu: xiner@upenn.edu / Tanvi Gupta: guptanvi@seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
How can I contact the TAs?,You can attend the office hours or email them - Rachel Liu: xiner@upenn.edu / Tanvi Gupta: guptanvi@seas.upenn.edu,,,,,,,,,,,,,,,,,,,,,,,,
Where is the TA's office located?,TBD (in-person),,,,,,,,,,,,,,,,,,,,,,,,
When are the office hours for the TA?,"Time TBD, location TBD",,,,,,,,,,,,,,,,,,,,,,,,
What are the specific course objectives?,"To cover core methods in educational data mining, teach execution in standard software, understand limitations, and know when and why to use these methods.",,,,,,,,,,,,,,,,,,,,,,,,
What are the overall expectations from students?,"Watch asynchronous videos, engage with content, complete assignments, and provide feedback on peers' work.",,,,,,,,,,,,,,,,,,,,,,,,
Where are the course readings?,Most readings are on the course schedule webpage (https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html); other readings may be provided in class.,,,,,,,,,,,,,,,,,,,,,,,,
What additional materials does this course use?,Most readings are on the course schedule webpage (https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html); other readings may be provided in class.,,,,,,,,,,,,,,,,,,,,,,,,
What is the course website?,Please refer to: https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html,,,,,,,,,,,,,,,,,,,,,,,,
What is the course discussion forum?,http://educ6191-f23.jeepytee.net/,,,,,,,,,,,,,,,,,,,,,,,,
"Is there a required text? If so, what is it?","Yes, ""Big Data and Education, 7th edition"" by R.S. Baker (available at: https://www.upenn.edu/learninganalytics/MOOT/bigdataeducation.html)",,,,,,,,,,,,,,,,,,,,,,,,
What textbook is being used in this course?,"""Big Data and Education, 7th edition"" by R.S. Baker (available at: https://www.upenn.edu/learninganalytics/MOOT/bigdataeducation.html)",,,,,,,,,,,,,,,,,,,,,,,,
"Important dates (due dates, assignments, etc.)?","For detailed information about the assignments, please visit the course webpage https://www.upenn.edu/learninganalytics/ryanbaker/EDM2023/index.html",,,,,,,,,,,,,,,,,,,,,,,,
What is the prerequisite of this course?,"Python, EDUC7667, or instructor permission. Proficiency in Python is essential",,,,,,,,,,,,,,,,,,,,,,,,
What is a basic assignment?,"Practice questions on Assistment platform. For any setup inquiries, please contact the TAs.",,,,,,,,,,,,,,,,,,,,,,,,
When will I find the basic assignments?,Basic assignments are on the ASSISTments platform. You can use Google Classroom or ASSISTments directly.,,,,,,,,,,,,,,,,,,,,,,,,
What are basic assignments like?,Basic assignments involve data mining with instant feedback and context-sensitive hints.,,,,,,,,,,,,,,,,,,,,,,,,
What happens if I make a mistake in the basic assignment?,"Making errors in the basic assignment has no penalties, regardless of what the system says.",,,,,,,,,,,,,,,,,,,,,,,,
What happens if I use hints in the basic assignment?,"Requesting hints in the basic assignment incurs no penalties, unless you game the system.",,,,,,,,,,,,,,,,,,,,,,,,
How many hints can I use in the basic assignment?,"You can use all the hints without penalties, unless you game the system.",,,,,,,,,,,,,,,,,,,,,,,,
How will you know if I game the system?,The system has a built-in detector to automatically detect instances of gaming the system.,,,,,,,,,,,,,,,,,,,,,,,,
Can I get credit if I used all the hints for a question?,"Yes, there are no penalties for requesting hints, regardless of what the system says, unless you game the system.",,,,,,,,,,,,,,,,,,,,,,,,
Where can I view my grade after completing assignments?,"If you complete the assignment in time, you will receive full credit.",,,,,,,,,,,,,,,,,,,,,,,,
What should I do after finishing each creative assignment?,"After submitting your own creative assignment, post meaningfully on four other students' creative assignments. Either section is fine.",,,,,,,,,,,,,,,,,,,,,,,,
What are the expectations for creative assignment?,"Creative assignments focus on personal discovery and learning from text and video resources, not flawless execution.",,,,,,,,,,,,,,,,,,,,,,,,
What does it mean to post on other students' assignments?,"After submitting your own creative assignment, post meaningfully on four other students' creative assignments. Either section is fine.",,,,,,,,,,,,,,,,,,,,,,,,
Why do I need to post on other students' assignments?,Posting on others' assignments allows you to explore alternative problem-solving approaches and benefits both you and your classmates.,,,,,,,,,,,,,,,,,,,,,,,,
How many students' assignments do I need to post on?,"After submitting your own creative assignment, post meaningfully on four other students' creative assignments. Either section is fine.",,,,,,,,,,,,,,,,,,,,,,,,
Can I discuss my approach with a friend for the assignment?,"Yes! You can discuss different approaches, but not share step-by-step solutions.",,,,,,,,,,,,,,,,,,,,,,,,
Can I do the assignment with a classmate but write separately?,"No, assignments are individual, but discussing readings or technical details on the forum is allowed.",,,,,,,,,,,,,,,,,,,,,,,,
Can I discuss readings or technical details on the forum?,Yes! You can discuss readings and technical details with your classmates as long as you don't share step-by-step solutions.,,,,,,,,,,,,,,,,,,,,,,,,
Can I ask my friend a UI question about ASSISTments?,Yes.,,,,,,,,,,,,,,,,,,,,,,,,
What can I discuss with my classmates?,You can discuss anything except sharing step-by-step solutions to assignments.,,,,,,,,,,,,,,,,,,,,,,,,
Can I do homework with friends together?,"No, assignments are individual, but discussing readings or technical details on the forum is allowed.",,,,,,,,,,,,,,,,,,,,,,,,
What is the collaboration policy in class?,"All assignments are individual. You must submit your own work, but discussing readings or technical details on the forum is allowed.",,,,,,,,,,,,,,,,,,,,,,,,
Can I get inspiration from my classmates' assignment posts?,"Not recommended, but it's not considered an ethical violation.",,,,,,,,,,,,,,,,,,,,,,,,
Can I copy my classmates' code for any assignment?,No.,,,,,,,,,,,,,,,,,,,,,,,,
Can I copy my classmates' modified dataset for any assignment?,No.,,,,,,,,,,,,,,,,,,,,,,,,
Can we work in groups for the assignments?,"No, all assignments are individual, but discussing readings or technical details on the forum is allowed.",,,,,,,,,,,,,,,,,,,,,,,,
How can I get in touch with Ryan?,"You can post to the forum, come to office hours, or set up a virtual meeting with penn.learninganalytics@gmail.com or rybaker@upenn.edu.",,,,,,,,,,,,,,,,,,,,,,,,
Will you accommodate students?,Ryan tries to accommodate every student. You can talk to him during office hours or email the professor or TAs to set up a meeting.,,,,,,,,,,,,,,,,,,,,,,,,
"I am worried about my coding skills, what should I do?",Come talk to us during office hours or email the professor or TAs to set up a meeting. Ryan tries to find a way to accommodate every student.,,,,,,,,,,,,,,,,,,,,,,,,
